THE | 1,69;
IRI | 0,02;
NBE | 0,02;
YUN | 0,02;
YPR | 0,02;
ISU | 0,02;
LLM | 0,02;
NGY | 0,02;
XTT | 0,02;
IRN | 0,02;
INW | 0,02;
GER | 0,02;
ISO | 0,02;
NTW | 0,02;
KTO | 0,02;
DDA | 0,02;
GLO | 0,02;
DMO | 0,02;
VIO | 0,02;
PHO | 0,02;
GAN | 0,02;
RSS | 0,02;
TKI | 0,02;
PHI | 0,02;
RDT | 0,02;
THS | 0,02;
XED | 0,02;
AYB | 0,02;
OMA | 0,02;
GPE | 0,02;
EAC | 0,02;
MIT | 0,02;
EEK | 0,02;
CAS | 0,02;
ARL | 0,02;
GHH | 0,02;
NBR | 0,02;
LOS | 0,02;
RWI | 0,02;
ELV | 0,02;
GDO | 0,02;
DTW | 0,02;
INO | 0,02;
OOW | 0,02;
ORL | 0,02;
MSA | 0,02;
ECI | 0,02;
AYY | 0,02;
EEL | 0,02;
EOU | 0,02;
KDO | 0,02;
UMO | 0,02;
GBU | 0,02;
LYD | 0,02;
SFO | 0,02;
NGV | 0,02;
NDK | 0,02;
SIB | 0,02;
LLP | 0,02;
HTS | 0,02;
URP | 0,02;
OTU | 0,02;
YSG | 0,02;
DEP | 0,02;
ENY | 0,02;
OUH | 0,02;
BYH | 0,02;
LEV | 0,02;
PLY | 0,02;
LHI | 0,02;
FUN | 0,02;
MAS | 0,02;
OTK | 0,02;
MTO | 0,02;
FLE | 0,02;
GUP | 0,02;
MYD | 0,02;
HOH | 0,02;
WOO | 0,02;
IMW | 0,02;
SKY | 0,02;
YEV | 0,02;
NKT | 0,02;
FPR | 0,02;
LIL | 0,02;
NTF | 0,02;
EXC | 0,02;
LDU | 0,02;
OBL | 0,02;
AFF | 0,02;
ETR | 0,02;
IFE | 0,02;
GIT | 0,02;
SNE | 0,02;
TES | 0,02;
TFE | 0,02;
YLA | 0,02;
BLY | 0,02;
RDA | 0,02;
NUT | 0,02;
IFI | 0,02;
EYP | 0,02;
ALD | 0,02;
GHB | 0,02;
MER | 0,02;
DDO | 0,02;
LWH | 0,02;
SKN | 0,02;
IRD | 0,02;
OBU | 0,02;
YAL | 0,02;
IRO | 0,02;
RYU | 0,02;
ESF | 0,02;
RYL | 0,02;
WIC | 0,02;
NAP | 0,02;
MEM | 0,02;
EUS | 0,02;
SQU | 0,02;
ADD | 0,02;
OMU | 0,02;
IXE | 0,02;
ECK | 0,02;
EIG | 0,02;
SSW | 0,02;
IFH | 0,02;
CKT | 0,02;
INV | 0,02;
HHI | 0,02;
UNI | 0,02;
ANI | 0,02;
TOG | 0,02;
PET | 0,02;
NIA | 0,02;
ENB | 0,02;
RMR | 0,02;
PUL | 0,02;
DTR | 0,02;
MAY | 0,02;
RAF | 0,02;
NNY | 0,02;
RPL | 0,02;
AWN | 0,02;
FIV | 0,02;
ERV | 0,02;
GEX | 0,02;
AIT | 0,02;
EPL | 0,02;
YSI | 0,02;
IDO | 0,02;
RSH | 0,02;
OLO | 0,02;
OMI | 0,02;
NTY | 0,02;
CED | 0,02;
ORK | 0,02;
ADS | 0,02;
BYC | 0,02;
MIS | 0,02;
OWD | 0,02;
RTE | 0,02;
YMI | 0,02;
SDA | 0,02;
LDL | 0,02;
ENM | 0,02;
OGE | 0,02;
IFY | 0,02;
BYT | 0,02;
SEB | 0,02;
UPO | 0,02;
SEW | 0,02;
DDL | 0,02;
GAI | 0,02;
EYG | 0,02;
SFL | 0,02;
WWO | 002;
UTS | 0,02;
FAS | 0,02;
YMR | 0,02;
PID | 0,02;
AWO | 0,02;
XPL | 0,02;
MME | 0,02;
TIE | 0,02;
NTP | 0,02;
EMT | 0,02;
EPH | 0,02;
EEA | 0,02;
RIF | 0,02;
ACL | 0,02;
NDC | 0,02;
MEW | 0,02;
OUP | 0,02;
PSE | 0,02;
KEY | 0,02;
OWO | 0,02;
HWE | 0,02;
SUC | 0,02;
DET | 0,02;
MRA | 0,02;
ASB | 0,02;
NEC | 0,02;
EOT | 0,02;
MOM | 0,02;
ABI | 0,02;
CKD | 0,02;
ITO | 0,02;
ZED | 0,02;
OLE | 0,02;
ARY | 0,02;
PTO | 0,02;
MBU | 0,02;
IRW | 0,02;
EKN | 0,02;
FEA | 0,02;
NUN | 0,02;
YDE | 0,02;
GEO | 0,02;
ETF | 0,02;
KLI | 0,02;
LDT | 0,02;
ILV | 0,02;
ROS | 0,02;
YMU | 0,02;
AKT | 0,02;
SAM | 0,02;
GGE | 0,02;
KLE | 0,02;
RLI | 0,02;
GSW | 0,02;
YDA | 0,02;
MTH | 0,02;
VEY | 0,01;
OSO | 0,01;
ALN | 0,01;
YOL | 0,01;
TCL | 0,01;
SPL | 0,01;
TSU | 0,01;
SFI | 0,01;
GSA | 0,01;
DGA | 0,01;
BYE | 0,01;
KSH | 0,01;
BIT | 0,01;
ASQ | 0,01;
INU | 0,01;
INB | 0,01;
RAI | 0,01;
EMH | 0,01;
GLI | 0,01;
NGC | 0,01;
NOO | 0,01;
NDG | 0,01;
CTM | 0,01;
HRE | 0,01;
PPY | 0,01;
RYC | 0,01;
OWR | 0,01;
FAB | 0,01;
ABA | 0,01;
NSU | 0,01;
DTA | 0,01;
EOR | 0,01;
ODI | 0,01;
RYN | 0,01;
OYI | 0,01;
HUR | 0,01;
NOP | 0,01;
TDA | 0,01;
GEL | 0,01;
BBE | 0,01;
SEA | 0,01;
APS | 0,01;
EMN | 0,01;
LUT | 0,01;
EAW | 0,01;
HEU | 0,01;
TAG | 0,01;
ONY | 0,01;
GTI | 0,01;
KIS | 0,01;
YDR | 0,01;
ASY | 0,01;
UNU | 0,01;
UNE | 0,01;
CRA | 0,01;
EER | 0,01;
LIF | 0,01;
TUS | 0,01;
DFO | 0,01;
KAC | 0,01;
LGR | 0,01;
UES | 0,01;
SBA | 0,01;
OSU | 0,01;
KSB | 0,01;
ALW | 0,01;
ISL | 0,01;
SPA | 0,01;
MIR | 0,01;
YAR | 0,01;
LAB | 0,01;
PPI | 0,01;
EWR | 0,01;
SVE | 0,01;
OOP | 0,01;
KSU | 0,01;
IFA | 0,01;
ULA | 0,01;
ENF | 0,01;
RYG | 0,01;
YMA | 0,01;
RGR | 0,01;
AFI | 0,01;
OLV | 0,01;
DVO | 0,01;
UDE | 0,01;
NEF | 0,01;
SHU | 0,01;
KWH | 0,01;
CHH | 0,01;
OYW | 0,01;
SBR | 0,01;
BAK | 0,01;
RBA | 0,01;
LDG | 0,01;
ENR | 0,01;
IHE | 0,01;
AGE | 0,01;
SIF | 0,01;
ACR | 0,01;
XCI | 0,01;
UIT | 0,01;
HUD | 0,01;
DOS | 0,01;
EDV | 0,01;
IAL | 0,01;
HOM | 0,01;
JOI | 0,01;
AHU | 0,01;
CIT | 0,01;
OFL | 0,01;
LYC | 0,01;
RUF | 0,01;
HEJ | 0,01;
HYB | 0,01;
ROL | 0,01;
REO | 0,01;
KOF | 0,01;
EYB | 0,01;
IRR | 0,01;
TSP | 0,01;
WRE | 0,01;
AKH | 0,01;
ATO | 0,01;
RVE | 0,01;
NFU | 0,01;
AUG | 0,01;
SOT | 0,01;
OMP | 0,01;
SIP | 0,01;
AYO | 0,01;
DGR | 0,01;
HEV | 0,01;
SSP | 0,01;
WOK | 0,01;
BIG | 0,01;
OWT | 0,01;
YMO | 0,01;
LYN | 0,01;
NNI | 0,01;
NVO | 0,01;
GEM | 0,01;
ATP | 0,01;
IRM | 0,01;
NFE | 0,01;
NFA | 0,01;
SOO | 0,01;
WLF | 0,01;
DIR | 0,01;
BYS | 0,01;
CIN | 0,01;
MWE | 0,01;
EGL | 0,01;
LBL | 0,01;
GPA | 0,01;
EJU | 0,01;
TCA | 0,01;
ITG | 0,01;
LYL | 0,01;
ESK | 0,01;
SFE | 0,01;
RBO | 0,01;
KEB | 0,01;
STM | 0,01;
IUS | 0,01;
BYB | 0,01;
LSE | 0,01;
ICO | 0,01;
ODB | 0,01;
HHH | 0,01;
HIE | 0,01;
ANP | 0,01;
FFT | 0,01;
TUC | 0,01;
NEO | 0,01;
KAL | 0,01;
MUF | 0,01;
TEO | 0,01;
NMO | 0,01;
MYO | 0,01;
SDI | 0,01;
BEG | 0,01;
TTW | 0,01;
MFR | 0,01;
CKS | 0,01;
ADY | 0,01;
XAC | 0,01;
TIG | 0,01;
ABR | 0,01;
SDO | 0,01;
LDY | 0,01;
EIF | 0,01;
RSU | 0,01;
OWY | 0,01;
RTW | 0,01;
SCU | 0,01;
MEE | 0,01;
ITP | 0,01;
MYL | 0,01;
HTP | 0,01;
UDT | 0,01;
MUR | 0,01;
WVE | 0,01;
HYO | 0,01;
ODU | 0,01;
ESM | 0,01;
OMT | 0,01;
EDF | 0,01;
LDW | 0,01;
ARF | 0,01;
PHE | 0,01;
OPO | 0,01;
INY | 0,01;
STD | 0,01;
WID | 0,01;
EAK | 0,01;
YBE | 0,01;
YVO | 0,01;
NMU | 0,01;
ISG | 0,01;
IMO | 0,01;
DHO | 0,01;
BIR | 0,01;
GSO | 0,01;
WNP | 0,01;
OZE | 0,01;
BYD | 0,01;
SIW | 0,01;
ILH | 0,01;
CKO | 0,01;
AYH | 0,01;
LFL | 0,01;
TUF | 0,01;
MNO | 0,01;
HCH | 0,01;
FWE | 0,01;
HIG | 0,01;
LAY | 0,01;
EYI | 0,01;
ETM | 0,01;
DAW | 0,01;
OSH | 0,01;
DSI | 0,01;
ILT | 0,01;
GBE | 0,01;
LFM | 0,01;
MHI | 0,01;
WNH | 0,01;
YHU | 0,01;
RCI | 0,01;
EFL | 0,01;
OPH | 0,01;
TEI | 0,01;
RYA | 0,01;
YPI | 0,01;
INM | 0,01;
OOS | 0,01;
GOF | 0,01;
KAG | 0,01;
JER | 0,01;
ATR | 0,01;
RDL | 0,01;
RDS | 0,01;
HOR | 0,01;
HYT | 0,01;
NYM | 0,01;
PIC | 0,01;
GOD | 0,01;
CER | 0,01;
DAD | 0,01;
TOK | 0,01;
FCA | 0,01;
GBY | 0,01;
RAW | 0,01;
MCA | 0,01;
RVO | 0,01;
UAS | 0,01;
GEA | 0,01;
MIF | 0,01;
HOF | 0,01;
WEM | 0,01;
HYH | 0,01;
FIX | 0,01;
HSU | 0,01;
PAN | 0,01;
HTV | 0,01;
RSM | 0,01;
TID | 0,01;
OWB | 0,01;
IRG | 0,01;
CEH | 0,01;
HUS | 0,01;
EED | 0,01;
GEI | 0,01;
YYE | 0,01;
FEE | 0,01;
YVE | 0,01;
DEV | 0,01;
HBO | 0,01;
MWH | 0,01;
ERR | 0,01;
LEG | 0,01;
RMU | 0,01;
NOB | 0,01;
ORY | 0,01;
SDE | 0,01;
IPP | 0,01;
NWH | 0,01;
TUE | 0,01;
UDB | 0,01;
KWA | 0,01;
SNI | 0,01;
HYE | 0,01;
SIV | 0,01;
OMW | 0,01;
KEE | 0,01;
FER | 0,01;
SBO | 0,01;
NAF | 0,01;
HOS | 0,01;
LFO | 0,01;
FNO | 0,01;
LCO | 0,01;
OPS | 0,01;
NYE | 0,01;
LLF | 0,01;
PSA | 0,01;
FTT | 0,01;
ENP | 0,01;
UHA | 0,01;
WAI | 0,01;
PTT | 0,01;
NDY | 0,01;
NRE | 0,01;
LKA | 0,01;
ADF | 0,01;
EIS | 0,01;
FMO | 0,01;
SER | 0,01;
EEX | 0,01;
EDE | 0,01;
URW | 0,01;
BLU | 0,01;
ESW | 0,01;
WRI | 0,01;
NSH | 0,01;
AKA | 0,01;
LIP | 0,01;
UTU | 0,01;
WNA | 0,01;
CHS | 0,01;
DIW | 0,01;
GVE | 0,01;
YDU | 0,01;
LRE | 0,01;
NUS | 0,01;
OEX | 0,01;
IMI | 0,01;
HUN | 0,01;
HTN | 0,01;
AYF | 0,01;
GHP | 0,01;
DAM | 0,01;
MST | 0,01;
URR | 0,01;
LDJ | 0,01;
POW | 0,01;
UDG | 0,01;
GHO | 0,01;
OTC | 0,01;
LNO | 0,01;
GLY | 0,01;
LUC | 0,01;
SSU | 0,01;
EIM | 0,01;
THM | 0,01;
RUS | 0,01;
PUR | 0,01;
TGA | 0,01;
FRE | 0,01;
POK | 0,01;
ONN | 0,01;
HOT | 0,01;
OMM | 0,01;
HID | 0,01;
GHS | 0,01;
YGE | 0,01;
SDR | 0,01;
THL | 0,01;
OPU | 0,01;
OAT | 0,01;
GNE | 0,01;
EDW | 0,01;
SAU | 0,01;
ALS | 0,01;
NPO | 0,01;
FAR | 0,01;
APA | 0,01;
OUA | 0,01;
MIX | 0,01;
POP | 0,01;
ETL | 0,01;
LME | 0,01;
RCH | 0,01;
OMH | 0,01;
DKE | 0,01;
RPE | 0,01;
DCL | 0,01;
LSN | 0,01;
DJA | 0,01;
UTN | 0,01;
YRU | 0,01;
OHY | 0,01;
PSO | 0,01;
VEC | 0,01;
GWA | 0,01;
GTW | 0,01;
LAF | 0,01;
AMU | 0,01;
RKL | 0,01;
ICA | 0,01;
NEK | 0,01;
NOD | 0,01;
EJE | 0,01;
LUS | 0,01;
ONU | 0,01;
DMU | 0,01;
FFO | 0,01;
CEF | 0,01;
RYD | 0,01;
NRI | 0,01;
API | 0,01;
KIC | 0,01;
EYV | 0,01;
KEU | 0,01;
TOE | 0,01;
UCO | 0,01;
ITU | 0,01;
CKW | 0,01;
YCH | 0,01;
RUE | 0,01;
UDO | 0,01;
NET | 0,01;
TMY | 0,01;
AYW | 0,01;
YFA | 0,01;
RKN | 0,01;
AUN | 0,01;
OPA | 0,01;
LYP | 0,01;
NWI | 0,01;
THT | 0,01;
IMU | 0,01;
FOW | 0,01;
HBE | 0,01;
JIM | 0,01;
LTE | 0,01;
MWI | 0,01;
PAW | 0,01;
HLO | 0,01;
WYO | 0,01;
LLU | 0,01;
ETN | 0,01;
WOM | 0,01;
YAW | 0,01;
LIM | 0,01;
MID | 0,01;
FRI | 0,01;
OFW | 0,01;
GYO | 0,01;
ABU | 0,01;
ETC | 0,01;
RMS | 0,01;
CUL | 0,01;
ISV | 0,01;
ITF | 0,01;
TGO | 0,01;
MAR | 0,01;
ODO | 0,01;
UTY | 0,01;
NLI | 0,01;
RIU | 0,01;
TOM | 0,01;
HCA | 0,01;
NFO | 0,01;
MBY | 0,01;
DTU | 0,01;
CTT | 0,01;
ANU | 0,01;
SEF | 0,01;
URI | 0,01;
LOC | 0,01;
OCA | 0,01;
RNA | 0,01;
ABY | 0,01;
EIV | 0,01;
SAB | 0,01;
RBR | 0,01;
UTD | 0,01;
UNS | 0,01;
OMF | 0,01;
DEW | 0,01;
MSW | 0,01;
HSH | 0,01;
PSS | 0,01;
MSI | 0,01;
NAR | 0,01;
ZEN | 0,01;
ANA | 0,01;
OOB | 0,01;
NFR | 0,01;
EOL | 0,01;
FSH | 0,01;
TVO | 0,01;
DLO | 0,01;
YBL | 0,01;
HAK | 0,01;
LPR | 0,01;
DPU | 0,01;
SHY | 0,01;
XCE | 0,01;
GNI | 0,01;
PTA | 0,01;
FBU | 0,01;
LSW | 0,01;
WND | 0,01;
GTA | 0,01;
OBI | 0,01;
LMA | 0,01;
CJA | 0,01;
LPN | 0,01;
SBI | 0,01;
GFR | 0,01;
UTP | 0,01;
NYC | 0,01;
DLA | 0,01;
NSM | 0,01;
DYU | 0,01;
RDH | 0,01;
GAM | 0,01;
SCE | 0,01;
WUN | 0,01;
LSL | 0,01;
YKE | 0,01;
SVA | 0,01;
EPP | 0,01;
RTL | 0,01;
DOL | 0,01;
LLC | 0,01;
DVE | 0,01;
ULI | 0,01;
APF | 0,01;
WFA | 0,01;
YSB | 0,01;
WOF | 0,01;
LID | 0,01;
HTW | 0,01;
KAS | 0,01;
FTR | 0,01;
ISJ | 0,01;
HNO | 0,01;
GNT | 0,01;
NOL | 0,01;
ZEO | 0,01;
IPI | 0,01;
PBU | 0,01;
TEE | 0,01;
MNE | 0,01;
MHA | 0,01;
IMN | 0,01;
DAP | 0,01;
YEL | 0,01;
PSU | 0,01;
UYH | 0,01;
KSO | 0,01;
HWA | 0,01;
ORG | 0,01;
DAG | 0,01;
HMY | 0,01;
OES | 0,01;
SYT | 0,01;
KPR | 0,01;
FUR | 0,01;
YBA | 0,01;
WNE | 0,01;
FCO | 0,01;
CKP | 0,01;
MCL | 0,01;
UTC | 0,01;
MDU | 0,01;
RMO | 0,01;
YWR | 0,01;
AKL | 0,01;
LMI | 0,01;
DAH | 0,01;
GWH | 0,01;
UMA | 0,01;
CHC | 0,01;
NAH | 0,01;
WEI | 0,01;
TEC | 0,01;
HSA | 0,01;
NRA | 0,01;
GOA | 0,01;
DSS | 0,01;
UPL | 0,01;
MMA | 0,01;
SYS | 0,01;
AHE | 0,01;
TAY | 0,01;
OBV | 0,01;
GYE | 0,01;
DAF | 0,01;
FTI | 0,01;
EWM | 0,01;
GSP | 0,01;
DBR | 0,01;
THF | 0,01;
DKI | 0,01;
IMR | 0,01;
DIG | 0,01;
EYJ | 0,01;
IPO | 0,01;
URH | 0,01;
SEO | 0,01;
CHY | 0,01;
CHM | 0,01;
BUC | 0,01;
UVE | 0,01;
YSC | 0,01;
LIR | 0,01;
DBO | 0,01;
GYH | 0,01;
RYK | 0,01;
YET | 0,01;
CHN | 0,01;
DSU | 0,01;
EFY | 0,01;
HHA | 0,01;
AIL | 0,01;
THD | 0,01;
GIV | 0,01;
BLO | 0,01;
YUS | 0,01;
KEO | 0,01;
AHO | 0,01;
MEC | 0,01;
SSM | 0,01;
DTI | 0,01;
HLA | 0,01;
KYT | 0,01;
TCE | 0,01;
CCA | 0,01;
INL | 0,01;
SOB | 0,01;
HMU | 0,01;
NKF | 0,01;
ZER | 0,01;
ULF | 0,01;
DPI | 0,01;
FYM | 0,01;
OGS | 0,01;
NNO | 0,01;
WLL | 0,01;
BAG | 0,01;
ODL | 0,01;
USN | 0,01;
LLV | 0,01;
SAD | 0,01;
LKB | 0,01;
XTF | 0,01;
NSP | 0,01;
RGA | 0,01;
YEB | 0,01;
PIL | 0,01;
USO | 0,01;
XTS | 0,01;
ORO | 0,01;
IFO | 0,01;
AMM | 0,01;
TBO | 0,01;
RKA | 0,01;
GOS | 0,01;
ROY | 0,01;
FMU | 0,01;
STL | 0,01;
NKL | 0,01;
GHC | 0,01;
TAW | 0,01;
IAN | 0,01;
ADJ | 0,01;
FPA | 0,01;
EFC | 0,01;
MSH | 0,01;
USC | 0,01;
ITR | 0,01;
EKA | 0,01;
KYS | 0,01;
STV | 0,01;
HHO | 0,01;
UDH | 0,01;
BOL | 0,01;
ZET | 0,01;
RPS | 0,01;
NIO | 0,01;
BOV | 0,01;
ODY | 0,01;
LDD | 0,01;
NCO | 0,01;
SGL | 0,01;
GHU | 0,01;
BAL | 0,01;
IXI | 0,01;
OYF | 0,01;
DCU | 0,01;
EUP | 0,01;
GRA | 0,01;
RPU | 0,01;
KOU | 0,01;
ACU | 0,01;
YTU | 0,01;
INR | 0,01;
JET | 0,01;
UDY | 0,01;
SUG | 0,01;
FAF | 0,01;
EUN | 0,01;
TSR | 0,01;
FTN | 0,01;
UEF | 0,01;
SJU | 0,01;
VIV | 0,01;
YGU | 0,01;
WPR | 0,01;
EGA | 0,01;
AGO | 0,01;
SAV | 0,01;
TBA | 0,01;
OUI | 0,01;
HYY | 0,01;
LPL | 0,01;
OBR | 0,01;
LYF | 0,01;
LLJ | 0,01;
DGL | 0,01;
RRE | 0,01;
RCA | 0,01;
KFA | 0,01;
YOV | 0,01;
SWR | 0,01;
BEB | 0,01;
FUT | 0,01;
SOL | 0,01;
UMP | 0,01;
AYU | 0,01;
MKI | 0,01;
SSL | 0,01;
TIV | 0,01;
URD | 0,01;
TNU | 0,01;
UML | 0,01;
ESG | 0,01;
CHB | 0,01;
RBL | 0,01;
KIH | 0,01;
CKY | 0,01;
SLU | 0,01;
LML | 0,01;
OUF | 0,01;
OFY | 0,01;
WOH | 0,01;
FSP | 0,01;
FAD | 0,01;
FEX | 0,01;
GVO | 0,01;
FSA | 0,01;
OIH | 0,01;
WEK | 0,01;
CEM | 0,01;
PLO | 0,01;
WBR | 0,01;
LGA | 0,01;
WBU | 0,01;
WSW | 0,01;
RYB | 0,01;
LSV | 0,01;
RIK | 0,01;
SIC | 0,01;
BOW | 0,01;
XIO | 0,01;
ICS | 0,01;
TTU | 0,01;
STN | 0,01;
OTG | 0,01;
IER | 0,01;
GAC | 0,01;
WMU | 0,01;
FFH | 0,01;
TSS | 0,01;
CKG | 0,01;
BUR | 0,01;
ICC | 0,01;
ITL | 0,01;
ANJ | 0,01;
UTG | 0,01;
LFH | 0,01;
RWE | 0,01;
IDG | 0,01;
OWG | 0,01;
EEO | 0,01;
DJO | 0,01;
NSY | 0,01;
EAH | 0,01;
BIK | 0,01;
GEY | 0,01;
IDL | 0,01;
CEY | 0,01;
EKS | 0,01;
WWE | 0,01;
KBO | 0,01;
BEW | 0,01;
CIA | 0,01;
OUW | 0,01;
EEZ | 0,01;
SJA | 0,01;
OSM | 0,01;
DLU | 0,01;
MAK | 0,01;
CTP | 0,01;
NIE | 0,01;
ENG | 0,01;
OBB | 0,01;
YKI | 0,01;
SRE | 0,01;
DIL | 0,01;
VAS | 0,01;
OLP | 0,01;
IRL | 0,01;
ANL | 0,01;
SHC | 0,01;
SIZ | 0,01;
TGR | 0,01;
MBI | 0,01;
UHE | 0,01;
HSO | 0,01;
OTR | 0,01;
OYG | 0,01;
THC | 0,01;
SEX | 0,01;
EGI | 0,01;
OPR | 0,01;
HYW | 0,01;
ETB | 0,01;
AGG | 0,01;
HDU | 0,01;
DYI | 0,01;
OLT | 0,01;
CUT | 0,01;
CUR | 0,01;
OFJ | 0,01;
IRH | 0,01;
UFT | 0,01;
TVI | 0,01;
NOV | 0,01;
WEW | 0,01;
OYE | 0,01;
TDE | 0,01;
GIF | 0,01;
LGE | 0,01;
TIH | 0,01;
MYW | 0,01;
WSA | 0,01;
NDF | 0,01;
YJU | 0,01;
DSF | 0,01;
UNR | 0,01;
RNT | 0,01;
RMY | 0,01;
TJI | 0,01;
NID | 0,01;
WAB | 0,01;
YVI | 0,01;
RAP | 0,01;
DEE | 0,01;
IPR | 0,01;
EKF | 0,01;
DWO | 0,01;
HYF | 0,01;
STY | 0,01;
YNA | 0,01;
LIJ | 0,01;
OSN | 0,01;
NYL | 0,01;
MUM | 0,01;
YAF | 0,01;
OLK | 0,01;
VOU | 0,01;
WOC | 0,01;
USP | 0,01;
XTL | 0,01;
TFR | 0,01;
AWE | 0,01;
NPU | 0,01;
ARN | 0,01;
SIQ | 0,01;
GMR | 0,01;
PLI | 0,01;
YDB | 0,01;
MAT | 0,01;
MUT | 0,01;
AIG | 0,01;
BUI | 0,01;
WWA | 0,01;
IEN | 0,01;
GSG | 0,01;
FPE | 0,01;
NOH | 0,01;
DIA | 0,01;
BHI | 0,01;
DFE | 0,01;
SLO | 0,01;
DIM | 0,01;
WDU | 0,01;
MPR | 0,01;
RSN | 0,01;
NIC | 0,01;
WIF | 0,01;
ALC | 0,01;
STG | 0,01;
TJU | 0,01;
FIM | 0,01;
IGA | 0,01;
TAP | 0,01;
FFM | 0,01;
PYD | 0,01;
LFS | 0,01;
REJ | 0,01;
GCO | 0,01;
NYP | 0,01;
UBJ | 0,01;
WOL | 0,01;
NMY | 0,01;
CYS | 0,01;
EEI | 0,01;
DGO | 0,01;
GWO | 0,01;
GSQ | 0,01;
UAR | 0,01;
FFD | 0,01;
LDO | 0,01;
NEH | 0,01;
TLO | 0,01;
WDI | 0,01;
SME | 0,01;
LYR | 0,01;
GIM | 0,01;
FED | 0,01;
DNU | 0,01;
ALU | 0,01;
AYE | 0,01;
OFM | 0,01;
WAP | 0,01;
WNR | 0,01;
OCE | 0,01;
CIO | 0,01;
NCT | 0,01;
YOH | 0,01;
WIH | 0,01;
YSD | 0,01;
WSS | 0,01;
OEV | 0,01;
ULB | 0,01;
MPA | 0,01;
OIT | 0,01;
PAV | 0,01;
PAI | 0,01;
UEI | 0,01;
ONP | 0,01;
LTW | 0,01;
EDJ | 0,01;
DNI | 0,01;
UIV | 0,01;
NBL | 0,01;
EPB | 0,01;
JUD | 0,01;
MHO | 0,01;
FIF | 0,01;
IAC | 0,01;
INP | 0,01;
EPW | 0,01;
PQU | 0,01;
NDV | 0,01;
ELT | 0,01;
NEL | 0,01;
HUC | 0,01;
WOT | 0,01;
STW | 0,01;
PFL | 0,01;
PWE | 0,01;
CIG | 0,01;
VEK | 0,01;
OAM | 0,01;
APU | 0,01;
YAT | 0,01;
SYR | 0,01;
NWE | 0,01;
NSN | 0,01;
KSI | 0,01;
UEE | 0,01;
LOP | 0,01;
RSC | 0,01;
ESR | 0,01;
ICI | 0,01;
XTD | 0,01;
OBA | 0,01;
LLK | 0,01;
YTR | 0,01;
CKM | 0,01;
GNS | 0,01;
CTN | 0,01;
RYE | 0,01;
FDR | 0,01;
ELS | 0,01;
GTR | 0,01;
ICJ | 0,01;
AMH | 0,01;
ELP | 0,01;
KSM | 0,01;
INN | 0,01;
OKS | 0,01;
EWF | 0,01;
RAG | 0,01;
DFI | 0,01;
GQU | 0,01;
NSO | 0,01;
EMW | 0,01;
BEO | 0,01;
FAI | 0,01;
RUC | 0,01;
KMR | 0,01;
NGQ | 0,01;
EOB | 0,01;
FSI | 0,01;
TAM | 0,01;
BVI | 0,01;
LSM | 0,01;
HUM | 0,01;
YIF | 0,01;
LCA | 0,01;
IMT | 0,01;
IOR | 0,01;
VEF | 0,01;
HAC | 0,01;
KIT | 0,01;
HFL | 0,01;
NMR | 0,01;
IMY | 0,01;
DUL | 0,01;
OFC | 0,01;
ONB | 0,01;
NSA | 0,01;
KON | 0,01;
IAR | 0,01;
STB | 0,01;
KEI | 0,01;
DYT | 0,01;
GDU | 0,01;
LFI | 0,01;
WNY | 0,01;
FLU | 0,01;
RPA | 0,01;
WMI | 0,01;
LFP | 0,01;
ICM | 0,01;
SSD | 0,01;
TYK | 0,01;
FSO | 0,01;
CMO | 0,01;
RML | 0,01;
HPE | 0,01;
LUP | 0,01;
DSL | 0,01;
CEP | 0,01;
LNA | 0,01;
YGA | 0,01;
OVI | 0,01;
ARV | 0,01;
NGM | 0,01;
GNC | 0,01;
OCL | 0,01;
VIE | 0,01;
DDW | 0,01;
NEJ | 0,01;
WSE | 0,01;
CHF | 0,01;
GOL | 0,01;
RBH | 0,01;
AWI | 0,01;
NPH | 0,01;
UEA | 0,01;
KYV | 0,01;
SBY | 0,01;
YMY | 0,01;
EDY | 0,01;
YAC | 0,01;
SRA | 0,01;
EHU | 0,01;
ROR | 0,01;
PPR | 0,01;
LPU | 0,01;
URT | 0,01;
EIZ | 0,01;
UID | 0,01;
CEO | 0,01;
UNF | 0,01;
DRU | 0,01;
HIO | 0,01;
YUP | 0,01;
UNA | 0,01;
AZE | 0,01;
DOP | 0,01;
WLA | 0,01;
LSP | 0,01;
PSY | 0,01;
YHO | 0,01;
HOD | 0,01;
ODM | 0,01;
VES | 0,01;
BUY | 0,01;
MPI | 0,01;
OFD | 0,01;
LJU | 0,01;
WSC | 0,01;
FAG | 0,01;
OOA | 0,01;
FST | 0,01;
PNO | 0,01;
NDN | 0,01;
EMC | 0,01;
HNU | 0,01;
TOJ | 0,01;
RDY | 0,01;
ODE | 0,01;
IMM | 0,01;
CGU | 0,01;
RNL | 0,01;
GAZ | 0,01;
URO | 0,01;
GSI | 0,01;
TUM | 0,01;
RIP | 0,01;
FHA | 0,01;
SAF | 0,01;
NEP | 0,01;
NKO | 0,01;
WGA | 0,01;
KTU | 0,01;
AFU | 0,01;
IOL | 0,01;
TET | 0,01;
OKP | 0,01;
DFU | 0,01;
SMU | 0,01;
STK | 0,01;
IGO | 0,01;
OMD | 0,01;
ENU | 0,01;
LGO | 0,01;
GCA | 0,01;
BIN | 0,01;
AHS | 0,01;
NTC | 0,01;
GIA | 0,01;
